Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,0.61,0.31,0.42714613635275694
100% Corpus,6,0.61,0.61,0.46546107419660315
100% Corpus,6,0.61,0.9099999999999999,0.471992037954099
100% Corpus,6,0.61,symmetric,0.41941730328810334
100% Corpus,6,0.9099999999999999,0.01,0.4195941200713452
100% Corpus,6,0.9099999999999999,0.31,0.41410870594765425
100% Corpus,6,0.9099999999999999,0.61,0.4267305291707505
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4334846400965692
100% Corpus,6,0.9099999999999999,symmetric,0.4041588844177208
100% Corpus,6,symmetric,0.01,0.3982805433654234
100% Corpus,6,symmetric,0.31,0.3929808440976303
100% Corpus,6,symmetric,0.61,0.3744686695881135
100% Corpus,6,symmetric,0.9099999999999999,0.4266963713034876
100% Corpus,6,symmetric,symmetric,0.4063244963202063
100% Corpus,6,asymmetric,0.01,0.390185764717834
100% Corpus,6,asymmetric,0.31,0.38101372781544157
100% Corpus,6,asymmetric,0.61,0.423183240309793
100% Corpus,6,asymmetric,0.9099999999999999,0.4464224409452303
100% Corpus,6,asymmetric,symmetric,0.39721072275489305
100% Corpus,7,0.01,0.01,0.40349204325296634
100% Corpus,7,0.01,0.31,0.40140394396054446
100% Corpus,7,0.01,0.61,0.4096058412023904
100% Corpus,7,0.01,0.9099999999999999,0.4062522539519078
100% Corpus,7,0.01,symmetric,0.4016819585071648
100% Corpus,7,0.31,0.01,0.39018043706484806
100% Corpus,7,0.31,0.31,0.396521393583566
100% Corpus,7,0.31,0.61,0.4294016285309791
100% Corpus,7,0.31,0.9099999999999999,0.47146598324065325
100% Corpus,7,0.31,symmetric,0.38775234956236815
100% Corpus,7,0.61,0.01,0.41482649308431563
100% Corpus,7,0.61,0.31,0.4278535871840236
100% Corpus,7,0.61,0.61,0.46404573893879925
100% Corpus,7,0.61,0.9099999999999999,0.471992037954099
100% Corpus,7,0.61,symmetric,0.4146539946891144
100% Corpus,7,0.9099999999999999,0.01,0.41027353121001786
100% Corpus,7,0.9099999999999999,0.31,0.41377341623367847
100% Corpus,7,0.9099999999999999,0.61,0.4293995736362254
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4334846400965692
100% Corpus,7,0.9099999999999999,symmetric,0.40002379648662467
100% Corpus,7,symmetric,0.01,0.4025691447430864
100% Corpus,7,symmetric,0.31,0.385759946783389
100% Corpus,7,symmetric,0.61,0.3773621128345154
100% Corpus,7,symmetric,0.9099999999999999,0.4335637811705082
100% Corpus,7,symmetric,symmetric,0.40382281045637286
100% Corpus,7,asymmetric,0.01,0.3865656920261066
100% Corpus,7,asymmetric,0.31,0.38010027347488684
100% Corpus,7,asymmetric,0.61,0.4214186857194552
100% Corpus,7,asymmetric,0.9099999999999999,0.5025241183732811
100% Corpus,7,asymmetric,symmetric,0.39050720383198567
100% Corpus,8,0.01,0.01,0.412943697819853
100% Corpus,8,0.01,0.31,0.3934694494535382
100% Corpus,8,0.01,0.61,0.3853045417497046
100% Corpus,8,0.01,0.9099999999999999,0.4205506287073758
100% Corpus,8,0.01,symmetric,0.399510208984316
100% Corpus,8,0.31,0.01,0.3797947802225804
100% Corpus,8,0.31,0.31,0.39574566616795764
100% Corpus,8,0.31,0.61,0.42670065587254635
100% Corpus,8,0.31,0.9099999999999999,0.4449082123800306
100% Corpus,8,0.31,symmetric,0.38815173696439087
100% Corpus,8,0.61,0.01,0.41482649308431563
100% Corpus,8,0.61,0.31,0.4308577014679056
100% Corpus,8,0.61,0.61,0.46305098032300024
100% Corpus,8,0.61,0.9099999999999999,0.4721704829027207
100% Corpus,8,0.61,symmetric,0.4190993133878235
100% Corpus,8,0.9099999999999999,0.01,0.41027353121001786
100% Corpus,8,0.9099999999999999,0.31,0.41281584993097453
100% Corpus,8,0.9099999999999999,0.61,0.42545994095658796
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.441489507802787
100% Corpus,8,0.9099999999999999,symmetric,0.4046255006208255
100% Corpus,8,symmetric,0.01,0.41301628592751305
100% Corpus,8,symmetric,0.31,0.3886805528588283
100% Corpus,8,symmetric,0.61,0.3783970056149285
100% Corpus,8,symmetric,0.9099999999999999,0.4263099320884577
100% Corpus,8,symmetric,symmetric,0.4023119699310024
100% Corpus,8,asymmetric,0.01,0.39027978751180525
100% Corpus,8,asymmetric,0.31,0.3844225908955686
100% Corpus,8,asymmetric,0.61,0.4163364768130517
100% Corpus,8,asymmetric,0.9099999999999999,0.45363689015829767
100% Corpus,8,asymmetric,symmetric,0.373850850136961
100% Corpus,9,0.01,0.01,0.41182726304969713
100% Corpus,9,0.01,0.31,0.3974065246251242
100% Corpus,9,0.01,0.61,0.3977021168481684
100% Corpus,9,0.01,0.9099999999999999,0.41579840922493644
100% Corpus,9,0.01,symmetric,0.3972140819363822
100% Corpus,9,0.31,0.01,0.3850877513710263
